mepid,result,eugroup,identifier
256890,attended,GUE/NGL,176184
256891,attended,Renew,176184
256893,attended,Patriots,176184
256896,attended,Patriots,176184
256898,attended,S&D,176184
256900,attended,NA,176184
256901,attended,S&D,176184
256903,attended,S&D,176184
256906,attended,S&D,176184
256907,attended,ECR,176184
256908,attended,S&D,176184
256909,attended,Patriots,176184
256910,attended,GUE/NGL,176184
256911,attended,GUE/NGL,176184
256913,attended,GUE/NGL,176184
256915,attended,Greens/EFA,176184
256916,attended,Greens/EFA,176184
256917,attended,Greens/EFA,176184
256919,attended,EPP,176184
256921,attended,EPP,176184
256922,attended,ECR,176184
256924,attended,ESN,176184
256925,attended,ECR,176184
256926,attended,Renew,176184
256927,attended,GUE/NGL,176184
256928,attended,ESN,176184
256934,attended,S&D,176184
256935,attended,S&D,176184
256936,attended,S&D,176184
256937,attended,S&D,176184
256938,attended,S&D,176184
256939,attended,NA,176184
256941,attended,ESN,176184
256942,attended,ESN,176184
256944,attended,ESN,176184
256945,attended,ESN,176184
256946,attended,Renew,176184
256947,attended,EPP,176184
256949,attended,ESN,176184
256950,attended,EPP,176184
256951,attended,ESN,176184
256952,attended,GUE/NGL,176184
256954,attended,Patriots,176184
256955,attended,NA,176184
256956,attended,ECR,176184
256959,attended,ESN,176184
256960,excused,NA,176184
256961,attended,GUE/NGL,176184
256962,attended,Renew,176184
256964,attended,Greens/EFA,176184
256965,attended,Greens/EFA,176184
256966,attended,NA,176184
256967,attended,NA,176184
256968,attended,EPP,176184
256969,attended,NA,176184
256970,attended,Renew,176184
256971,attended,NA,176184
256973,attended,EPP,176184
256976,attended,Renew,176184
256977,attended,EPP,176184
256978,attended,Greens/EFA,176184
256979,attended,EPP,176184
256980,attended,EPP,176184
256981,attended,Patriots,176184
256983,attended,EPP,176184
256985,attended,EPP,176184
256986,attended,ECR,176184
256987,attended,Renew,176184
256989,attended,NA,176184
256990,attended,Greens/EFA,176184
256991,attended,PfE,176184
256993,attended,S&D,176184
256994,attended,S&D,176184
256995,attended,Greens/EFA,176184
256996,attended,Patriots,176184
256997,attended,S&D,176184
256998,attended,Patriots,176184
256999,attended,S&D,176184
257000,attended,ECR,176184
257001,attended,S&D,176184
257002,attended,S&D,176184
257003,attended,Renew,176184
257009,excused,GUE/NGL,176184
257010,attended,Renew,176184
257011,attended,Renew,176184
257012,attended,GUE/NGL,176184
257014,attended,Renew,176184
257015,attended,Greens/EFA,176184
257020,attended,Renew,176184
257021,attended,ECR,176184
257022,attended,ECR,176184
257023,attended,GUE/NGL,176184
257024,attended,Patriots,176184
257025,attended,ECR,176184
257026,attended,EPP,176184
257027,attended,EPP,176184
257028,attended,EPP,176184
257029,attended,Patriots,176184
257030,attended,EPP,176184
257031,attended,EPP,176184
257032,attended,EPP,176184
257033,attended,EPP,176184
257034,attended,EPP,176184
257037,attended,Renew,176184
257038,excused,Renew,176184
257039,attended,EPP,176184
257040,attended,EPP,176184
257041,attended,EPP,176184
257043,attended,EPP,176184
257044,attended,Greens/EFA,176184
257045,attended,EPP,176184
257046,attended,EPP,176184
257047,attended,EPP,176184
257048,attended,EPP,176184
257049,attended,EPP,176184
257050,attended,Patriots,176184
257051,attended,EPP,176184
257052,attended,ECR,176184
257053,attended,S&D,176184
257054,attended,Patriots,176184
257055,attended,ECR,176184
257056,attended,ECR,176184
257057,attended,Renew,176184
257059,attended,S&D,176184
257060,attended,ECR,176184
257061,attended,Renew,176184
257064,attended,Patriots,176184
257065,attended,EPP,176184
257066,attended,S&D,176184
