party,dxid,acronym,country,q,picture,twitter,meps,eugroup
Isamaa,p72,Isamaa,ee,Q163347,https://pic.proca.app/twimg/1002958201585795072/9Z8hcHS1_normal.jpg,erakond,2,EPP
Eesti Keskerakond,t2k,EK,ee,Q928652,https://pic.proca.app/twimg/1141269627/logo-fb_400x400.png,keskerakondlane,1,Renew
Eesti Reformierakond,gs,Reform,ee,Q738947,https://pic.proca.app/twimg/1581897166620164098/Gbv7Yp8E_400x400_normal.jpg,reformikad,1,Renew
Sotsiaaldemokraatlik Erakond,n63,SDE,ee,Q913551,https://pic.proca.app/twimg/1679082267530895361/-nIrokjq_normal.jpg,sotsdem,2,S&D
Se Acabó la Fiesta,g90z,SALF,es,,https://pic.proca.app/twimg/1795108377384701952/90KHsGQi_normal.jpg,seacabalafiesta,2,ECR
Partido Popular,tm,PP,es,Q185088,https://pic.proca.app/twimg/1766578402398441472/k4WJ98A1_400x400_normal.jpg,ppopular,22,EPP
EH BILDU,77hx,EH Bildu,es,,https://pic.proca.app/twimg/1703745208880349184/0MdOhs6V_400x400_normal.jpg,ehbildu,1,GUE/NGL
Movimiento Sumar,gz9,Sumar,es,Q119458764,https://pic.proca.app/twimg/1678675233073508352/VKznrvrD_normal.jpg,sumar,1,GUE/NGL
PODEMOS,j6n,Podemos,es,Q16059622,https://pic.proca.app/twimg/1771593995447087104/MJIQaeDd_normal.jpg,podemos,2,GUE/NGL
Bloque Nacionalista Galego,b2b,BNG,es,Q885433,https://pic.proca.app/twimg/1597253664099500038/erZZVglo_normal.jpg,obloque,1,Greens/EFA
Compromís,q7jp,,es,,https://pic.proca.app/twimg/1767485645998391296/mmyxa82B_400x400_normal.jpg,compromis,1,Greens/EFA
Esquerra Republicana de Catalunya,990k,ERC,es,,https://pic.proca.app/twimg/1767524017940889600/gAL-7DF7_normal.jpg,Esquerra_ERC,1,Greens/EFA
Movimiento Sumar,gz9,Sumar,es,Q119458764,https://pic.proca.app/twimg/1678675233073508352/VKznrvrD_normal.jpg,sumar,1,Greens/EFA
Se Acabó la Fiesta,g90z,SALF,es,,https://pic.proca.app/twimg/1795108377384701952/90KHsGQi_normal.jpg,seacabalafiesta,1,NA
VOX,p4m,VOX,es,Q15630787,https://pic.proca.app/twimg/1546054595566358530/h7C1Rpry_normal.jpg,vox_es,6,Patriots
Partido Nacionalista Vasco,n90e,PNV,es,,https://pic.proca.app/twimg/1767479044415574016/V07zuKOE_normal.jpg,eajpnv,1,Renew
Partido Socialista Obrero Español,et,PSOE,es,Q138198,https://pic.proca.app/twimg/1810276136137424896/xp2hdkPs_normal.jpg,PSOE,19,S&D
Partit dels Socialistes de Catalunya (PSC-PSOE),93b,PSC,es,Q2055003,https://pic.proca.app/twimg/1767162044627750912/PQNtfnaT_normal.jpg,socialistes_cat,1,S&D
Perussuomalaiset,f28,PS,fi,Q634277,https://pic.proca.app/twimg/1076145370521063424/foxnx3i0_normal.jpg,persut,1,ECR
Kansallinen Kokoomus,r2m,KOK,fi,Q304191,https://pic.proca.app/twimg/1826921481479114752/sVlUNgLD_normal.jpg,kokoomus,4,EPP
Vasemmistoliitto,w6g,VAS,fi,Q385927,https://pic.proca.app/twimg/1678686468376543234/aGZ3vnNj_normal.jpg,vasemmisto,3,GUE/NGL
Vihreä liitto,s42,VHR,fi,Q196695,https://pic.proca.app/twimg/1686337610166226944/dMbzDbP1_normal.jpg,vihreat,2,Greens/EFA
Suomen Keskusta,n1p,KESK,fi,Q506591,https://pic.proca.app/twimg/1657651651489017857/P0iulSmb_normal.jpg,keskusta,2,Renew
Svenska folkpartiet,31f,SFP,fi,Q845537,https://pic.proca.app/twimg/1701852207715344384/_S8iXI-Z_normal.jpg,sfprkp,1,Renew
Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti,v2j,SDP,fi,Q499029,https://pic.proca.app/twimg/1808038551604400129/MLx7aCq1_normal.jpg,Demarit,2,S&D
Identité Libertés,mb0w,ID,fr,,https://pic.proca.app/twimg/1843370363993968640/js6nd7Ob_normal.jpg,ID_Libertes,4,ECR
Les Républicains,d29,LR,fr,Q20012759,https://pic.proca.app/twimg/1709139543423660032/DzODVZcy_normal.jpg,lesRepublicains,5,EPP
Union des droites pour la République,pb0v,UDR,fr,,https://pic.proca.app/twimg/1890352620704866304/VzagSeMY_normal.jpg,partiudr,1,EPP
Reconquête!,y4g,REC,fr,Q109932430,https://pic.proca.app/twimg/1518220529873960966/T7jlhYk3_normal.jpg,reconquete2022,1,ESN
La France Insoumise,33e,LFI,fr,Q27978402,https://pic.proca.app/twimg/1644016332650807296/NDXhvmYH_400x400_normal.jpg,FranceInsoumise,9,GUE/NGL
Les Écologistes,g2r,EELV,fr,Q613786,https://pic.proca.app/twimg/1713175364174823425/RvCYqFqc_normal.jpg,EELV,5,Greens/EFA
Rassemblement national,r33,RN,fr,Q205150,https://pic.proca.app/twimg/1610731501833928706/6HxF9VdR_normal.jpg,RNational_off,29,Patriots
Sans parti,,,fr,,,,1,Patriots
Horizons,r52,,fr,Q108846587,https://pic.proca.app/twimg/1467601937176608774/n8jQH8WH_normal.jpg,HorizonsLeParti,2,Renew
Mouvement Démocrate,j55,MoDem,fr,Q587370,https://pic.proca.app/twimg/1673281594377875457/h1wc3ltt_normal.jpg,modem,4,Renew
Renaissance,34w,RE,fr,Q23731823,https://pic.proca.app/twimg/1675783196619816962/LlJ-KpN__normal.jpg,renaissance,5,Renew
Sans parti,,,fr,,,,1,Renew
Union des démocrates et indépendants,qb0c,UDI,fr,,https://pic.proca.app/twimg/1523906113548296192/2OyhhReI_normal.jpg,UDI_off,1,Renew
Parti socialiste,k45,PS,fr,Q170972,https://pic.proca.app/twimg/1587741528348397569/cBGgw0FR_normal.png,partisocialiste,10,S&D
Place publique,h5p,,fr,Q58366009,https://pic.proca.app/twimg/1488110727055433729/TLxwbq2e_normal.png,placepublique_,3,S&D
Elliniki Lusi-Greek Solution,v6z,EL,gr,Q50736163,,,2,ECR
Nea Demokratia,12y,ND,gr,Q223153,https://pic.proca.app/twimg/1047862079586279425/jyUXxgQ2_normal.jpg,neademokratia,7,EPP
Coalition of the Radical Left,c4s,SYRIZA,gr,Q222897,https://pic.proca.app/twimg/1305798004717346817/_HaEV-jI_normal.jpg,syriza_gr,4,GUE/NGL
Communist Party of Greece,d48,KKE,gr,,,,2,NA
Dimokratikó Patriotikó Kínima «NIKI»,,,gr,,,,1,NA
Plefsi Eleftherias,t1qr,PE,gr,Q24204945,https://pic.proca.app/twimg/1141338200113389568/NihghiVh_normal.png,pl_eleftherias,1,NA
Foní Loyikís,,,gr,,,,1,Patriots
PASOK-KINAL,11qm,PASOK,gr,Q203934,https://pic.proca.app/twimg/1538454573882417154/R_3A0BEN_normal.jpg,pasok,3,S&D
Dom i nacionalno okupljanje,,,hr,,,,1,ECR
Hrvatska demokratska zajednica,v12,HDZ,hr,Q738439,,,6,EPP
Možemo!,11p4,Možemo,hr,Q96099072,https://pic.proca.app/twimg/1275866205128208386/AjXuRiCj_400x400_normal.jpg,mozemoHR,1,Greens/EFA
Socijaldemokratska partija Hrvatske,y3z,SDP,hr,Q830323,https://pic.proca.app/twimg/1533710974405976064/kH4yB7fA_normal.jpg,SDPHrvatske,4,S&D
Tisztelet és Szabadság Párt,s9yd,TISZA,hu,,,,7,EPP
Mi Hazánk Mozgalom,m1qu,MHM,hu,Q55443054,https://pic.proca.app/twimg/1139407587290435584/ZidkNuUj_normal.jpg,MiHazank,1,ESN
Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,7w,Fidesz,hu,Q387006,https://pic.proca.app/twimg/1367185257343156229/cfVyHigh_normal.jpg,FideszEP,10,Patriots
Kereszténydemokrata Néppárt,44d,,hu,Q277879,,,1,Patriots
Demokratikus Koalíció,s3k,DK,hu,Q847504,,,2,S&D
Fine Gael Party,b3t,FG,ie,Q247135,https://pic.proca.app/twimg/1786689145231835136/vET8IsRN_normal.jpg,FineGael,4,EPP
Independent,64c,,ie,,,,1,GUE/NGL
Sinn Féin,j74,SF ,ie,Q76382,https://pic.proca.app/twimg/1610995340894785543/CQaJQg_L_normal.jpg,sinnfeinireland,2,GUE/NGL
Fianna Fáil Party,ky8,FF,ie,Q216517,https://pic.proca.app/twimg/1789220237683859456/ZrEp9nTU_normal.jpg,fiannafailparty,4,Renew
Independent,64c,,ie,,,,2,Renew
Labour Party,51r1,Lab,ie,Q503614,https://pic.proca.app/twimg/1458330396173733888/IIP6mrfu.png,labour,1,S&D
FRATELLI D' ITALIA,q5k,FdI,it,Q1757843,https://pic.proca.app/twimg/1783890236285526016/bgJT-E2V_normal.jpg,FratellidItalia,24,ECR
Forza Italia,e38,FI,it,Q14924303,https://pic.proca.app/twimg/1556935538195763202/hlQJ7_uT_normal.jpg,forza_italia,8,EPP
Südtiroler Volkspartei,t32,SVP,it,Q606620,,,1,EPP
Alleanza Verdi e Sinistra,z1r4,AVS,it,Q113168799,,,2,GUE/NGL
Movimento 5 Stelle,z3g,M5S,it,Q47817,https://pic.proca.app/twimg/1422681750359224329/dpoqgDxm_normal.jpg,Mov5Stelle,8,GUE/NGL
Europa Verde - Verdi,6b03,Europa Verde,it,,https://pic.proca.app/twimg/1865365951895482369/8QhrqQyk_normal.jpg,europaverde_it,2,Greens/EFA
Independent,,,it,,,,2,Greens/EFA
Lega,82c,Lega,it,,https://pic.proca.app/twimg/943884100175360000/DBNaS5Wq_normal.jpg,LegaSalvini,8,Patriots
Partito Democratico,e19,PD,it,Q47729,https://pic.proca.app/twimg/1135944632498565127/BYDUQIqm_normal.jpg,pdnetwork,21,S&D
Lietuvos lenkų rinkimų akcija – Krikščioniškų šeimų sąjunga,01z,LLRA-KSS,lt,Q1357218,,,1,ECR
Lietuvos valstiečių ir žaliųjų sąjunga,32x,LVZS,lt,Q285817,,,1,ECR
Tėvynės sąjunga-Lietuvos krikščionys demokratai,u60,TS-LKD,lt,Q81556,https://pic.proca.app/twimg/1278099677/ts-lkd_normal.jpg,tslkd,3,EPP
Tautos ir teisingumo sąjunga,0b06,TTS,lt,,https://pic.proca.app/twimg/694901420479373312/9wZntpIH_normal.png,tts,1,ESN
Demokratų sąjunga „Vardan Lietuvos“,21rk,DSVL,lt,Q110966457,,,1,Greens/EFA
Laisvės partija,6xy,LP,lt,Q64252730,https://pic.proca.app/twimg/1497160024237486091/sbyYMBRE_normal.jpg,laisvespartija,1,Renew
Liberalų sąjūdis,b1wd,LS,lt,Q1466907,https://pic.proca.app/twimg/1547106638867435521/kNKT6YMW_normal.jpg,liberalai,1,Renew
Lietuvos socialdemokratų partija,04f,LSDP,lt,Q4362,,,2,S&D
Alternativ Demokratesch Reformpartei,f1rw,ADR,lu,Q339280,https://pic.proca.app/twimg/1542438870/adr_twitter_icon.png,ADR_Lu,1,ECR
Parti chrétien social luxembourgeois,x6y,CSV,lu,Q1344670,https://pic.proca.app/twimg/1535553857585020928/mQ-bO4BA_normal.jpg,csv_news,2,EPP
Déi Gréng - Les Verts,p34,DG,lu,Q767761,https://pic.proca.app/twimg/1768950417491103744/nE9tG9SM_normal.jpg,deigreng,1,Greens/EFA
Parti démocratique,c2t,DP,lu,Q1029792,https://pic.proca.app/twimg/1684819231919968256/zymIKoAi_normal.jpg,dp_lu,1,Renew
Parti ouvrier socialiste luxembourgeois,t70,LSAP,lu,Q1070311,https://pic.proca.app/twimg/1566705667339161601/wHixN5Ea_normal.jpg,lsap_lu,1,S&D
"Apvienotais saraksts — Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija",g1rd,AS,lv,,,,1,ECR
"Nacionālā apvienība ""Visu Latvijai!"" - ""Tēvzemei un Brīvībai/LNNK""",41x,NA,lv,Q1576026,,,2,ECR
Jaunā Vienotība,r1r8,JV,lv,,,,2,EPP
Progresīvie,m1rb,PRO,lv,Q28966907,https://pic.proca.app/twimg/1576587387324465152/SpMGBWBu_normal.jpg,Progresivie,1,Greens/EFA
Latvija pirmajā vietā,j1rc,LPV,lv,Q108096403,,,1,Patriots
Latvijas attīstībai,,,lv,,,,1,Renew
"""Saskaņa"" sociāldemokrātiskā partija",q7j,Saskaņa,lv,Q2167704,,,1,S&D
Partit Nazzjonalista,n3n,PN,mt,Q594056,https://pic.proca.app/twimg/1495395387099779083/ob0OTwlJ_normal.jpg,PNmalta,3,EPP
Partit Laburista,03y,PL,mt,Q684886,https://pic.proca.app/twimg/1442813262291156995/cX8zqIC__normal.jpg,pl_malta,3,S&D
Staatkundig Gereformeerde Partij,g6p,SGP,nl,Q60172,https://pic.proca.app/twimg/1353670607657988098/1A5lOKD-_normal.jpg,sgpnieuws,1,ECR
BoerBurgerBeweging,01s3,BBB,nl,Q101083924,https://pic.proca.app/twimg/1757793148783210496/MCXV0R-9_normal.jpg,boerburgerb,2,EPP
Christen Democratisch Appèl,rn,CDA,nl,Q273749,https://pic.proca.app/twimg/1612791066645745664/BE0W8x1A_normal.jpg,cdavandaag,3,EPP
Nieuw Sociaal Contract,21s2,NSC,nl,Q121705847,https://pic.proca.app/twimg/1707114729850699776/70h_vCsO_normal.jpg,NwSocContract,1,EPP
Partij voor de Dieren,22f,PvdD,nl,Q663535,https://pic.proca.app/twimg/1688844576419713025/FCJk0uND_normal.jpg,PartijvdDieren,1,GUE/NGL
GroenLinks-PvdA,,,nl,,,,4,Greens/EFA
Volt,u1s6,Volt,nl,Q105412880,https://pic.proca.app/twimg/1544287932068028417/lC3Su3Ne_normal.jpg,voltnederland,2,Greens/EFA
Partij voor de Vrijheid,61s0,PVV,nl,Q332739,https://pic.proca.app/twimg/1727866458921701376/4mQPL6RK_normal.jpg,PVVpers,6,Patriots
Democraten 66,sy5,D66,nl,Q747910,https://pic.proca.app/twimg/1659079391740059648/Nr2wvjKF_normal.jpg,d66,3,Renew
Volkspartij voor Vrijheid en Democratie,t13,VVD,nl,Q239333,https://pic.proca.app/twimg/1425049963025866766/HmyHt-Ks_normal.jpg,vvd,4,Renew
GroenLinks-PvdA,,,nl,,,,4,S&D
Prawo i Sprawiedliwość,vk,PiS,pl,Q156874,https://pic.proca.app/twimg/1306880090291286016/AIQyc6kg_normal.jpg,pisorgpl,19,ECR
Solidarna Polska Zbigniewa Ziobro,nb0d,Suwerenna Polska,pl,,https://pic.proca.app/twimg/1653490172477014021/XC1EV-5e_normal.jpg,Suwerenna_POL,1,ECR
Independent,r4k,,pl,,,,3,EPP
Inicjatywa Polska,m97b,,pl,,https://pic.proca.app/twimg/1332645696151891968/N1rwK7ct_normal.jpg,inicjatywaPL,1,EPP
Platforma Obywatelska,71d,,pl,Q156868,https://pic.proca.app/twimg/1712906794027106304/oQJn2kNw_400x400_normal.jpg,Platforma_org,17,EPP
Polskie Stronnictwo Ludowe,t4j,PSL,pl,Q218477,https://pic.proca.app/twimg/1347777596319281153/nK_nqrOz_normal.jpg,nowePSL,2,EPP
Konfederacja Wolność i Niepodległość,n1s9,Konfederacja,pl,Q61568052,https://pic.proca.app/twimg/1277918136918999051/QBnFcoAu_normal.jpg,KONFEDERACJA_,3,ESN
Konfederacja Korony Polskiej,8b02,KKP,pl,,,,1,NA
Konfederacja Wolność i Niepodległość,n1s9,Konfederacja,pl,Q61568052,https://pic.proca.app/twimg/1277918136918999051/QBnFcoAu_normal.jpg,KONFEDERACJA_,2,Patriots
Polska 2050,f1s,,pl,Q100979832,https://pic.proca.app/twimg/1646115838565515265/3h8_l7Yz_normal.jpg,PL_2050,1,Renew
Nowa Lewica,y20,,pl,Q107418166,https://pic.proca.app/twimg/1714668784127025152/bdIp-g4p_400x400_normal.jpg,__Lewica,3,S&D
Aliança Democrática,2b05,AD,pt,,https://pic.proca.app/twimg/1783955901600182272/uUR_Th0T_normal.jpg,ALIANCAD2024,2,EPP
Partido Social Democrata,1z,PSD,pt,Q595575,https://pic.proca.app/twimg/1787256484490772480/enwR_TMA_normal.jpg,ppdpsd,4,EPP
Partido do Centro Democrático Social-Partido Popular,c39,CDS-PP,pt,Q1054298,https://pic.proca.app/twimg/1585250410595602433/TTK_bsTt_normal.jpg,_CDSPP,1,EPP
Bloco de Esquerda,j36,BE,pt,Q884840,https://pic.proca.app/twimg/1542802700009721858/pSSlmJ7o_normal.jpg,blocodeesquerda,1,GUE/NGL
Partido Comunista Português,n25,,pt,Q769829,https://pic.proca.app/twimg/1766982295087398912/_U5_EGrd_normal.jpg,pcp_pt,1,GUE/NGL
Chega,f1sd,CH,pt,Q63645885,https://pic.proca.app/twimg/1398028568786096128/N0kgzz1K_normal.jpg,PartidoCHEGA,2,Patriots
Iniciativa Liberal,d1se,IL,pt,Q46122950,https://pic.proca.app/twimg/922398610016407552/kgP3SHcV_normal.jpg,LiberalPT,2,Renew
