mepid,mep,result,group,identifier
3759,Koch,for,PPE,2017-06-01_19.
6001,Kósa,for,PPE,2017-06-01_19.
6053,Köstinger,for,PPE,2017-06-01_19.
6196,Kovatchev,for,PPE,2017-06-01_19.
6527,Kozłowska-Rajewicz,for,PPE,2017-06-01_19.
5403,Kudrycka,for,PPE,2017-06-01_19.
5940,Kuhn,for,PPE,2017-06-01_19.
5840,Kukan,for,PPE,2017-06-01_19.
1350,Lamassoure,for,PPE,2017-06-01_19.
5727,de Lange,for,PPE,2017-06-01_19.
3856,Langen,for,PPE,2017-06-01_19.
6363,Lavrilleux,for,PPE,2017-06-01_19.
6200,Le Grip,for,PPE,2017-06-01_19.
5105,Lewandowski,for,PPE,2017-06-01_19.
3855,Liese,for,PPE,2017-06-01_19.
6442,Lins,for,PPE,2017-06-01_19.
5938,Lope Fontagné,for,PPE,2017-06-01_19.
5517,López-Istúriz White,for,PPE,2017-06-01_19.
5964,Łukacijewska,for,PPE,2017-06-01_19.
6440,McAllister,for,PPE,2017-06-01_19.
5245,McGuinness,for,PPE,2017-06-01_19.
6303,Maletić,for,PPE,2017-06-01_19.
6245,Malinov,for,PPE,2017-06-01_19.
3845,Mann,for,PPE,2017-06-01_19.
5646,Marinescu,for,PPE,2017-06-01_19.
6465,Martusciello,for,PPE,2017-06-01_19.
6096,Mato,for,PPE,2017-06-01_19.
6721,Maullu,for,PPE,2017-06-01_19.
6483,Maydell,for,PPE,2017-06-01_19.
6121,Melo,for,PPE,2017-06-01_19.
5308,Mikolášik,for,PPE,2017-06-01_19.
5518,Millán Mon,for,PPE,2017-06-01_19.
6368,Morano,for,PPE,2017-06-01_19.
5732,Morin-Chartier,for,PPE,2017-06-01_19.
6436,Mureşan,for,PPE,2017-06-01_19.
5547,Mussolini,for,PPE,2017-06-01_19.
6544,Nagy,for,PPE,2017-06-01_19.
4712,Niebler,for,PPE,2017-06-01_19.
6332,Niedermayer,for,PPE,2017-06-01_19.
6709,Novakov,for,PPE,2017-06-01_19.
5407,Olbrycht,for,PPE,2017-06-01_19.
6377,Pabriks,for,PPE,2017-06-01_19.
5702,Patriciello,for,PPE,2017-06-01_19.
6383,Petir,for,PPE,2017-06-01_19.
5346,Pieper,for,PPE,2017-06-01_19.
5788,Pietikäinen,for,PPE,2017-06-01_19.
6537,Pitera,for,PPE,2017-06-01_19.
6519,Plura,for,PPE,2017-06-01_19.
6491,Pogliese,for,PPE,2017-06-01_19.
6700,Pospíšil,for,PPE,2017-06-01_19.
6010,Preda,for,PPE,2017-06-01_19.
6224,Proust,for,PPE,2017-06-01_19.
1487,Quisthoudt-Rowohl,for,PPE,2017-06-01_19.
6072,Rangel,for,PPE,2017-06-01_19.
1335,Reding,for,PPE,2017-06-01_19.
5347,Reul,for,PPE,2017-06-01_19.
6365,Ribeiro,for,PPE,2017-06-01_19.
6684,Rolin,for,PPE,2017-06-01_19.
5512,Rosati,for,PPE,2017-06-01_19.
6362,Ruas,for,PPE,2017-06-01_19.
4596,Rübig,for,PPE,2017-06-01_19.
4768,Saïfi,for,PPE,2017-06-01_19.
3991,Salafranca Sánchez-Neyra,for,PPE,2017-06-01_19.
6698,Salini,for,PPE,2017-06-01_19.
6370,Sander,for,PPE,2017-06-01_19.
5877,Saudargas,for,PPE,2017-06-01_19.
6619,Schmidt,for,PPE,2017-06-01_19.
5265,Schöpflin,for,PPE,2017-06-01_19.
6636,Schreijer-Pierik,for,PPE,2017-06-01_19.
6443,Schulze,for,PPE,2017-06-01_19.
5345,Schwab,for,PPE,2017-06-01_19.
5111,Siekierski,for,PPE,2017-06-01_19.
5781,Sógor,for,PPE,2017-06-01_19.
6341,Šojdrová,for,PPE,2017-06-01_19.
6663,Spyraki,for,PPE,2017-06-01_19.
6547,Štefanec,for,PPE,2017-06-01_19.
6333,Štětina,for,PPE,2017-06-01_19.
5778,Stolojan,for,PPE,2017-06-01_19.
6301,Šuica,for,PPE,2017-06-01_19.
6680,Šulin,for,PPE,2017-06-01_19.
6672,Svoboda,for,PPE,2017-06-01_19.
5143,Szájer,for,PPE,2017-06-01_19.
