mepid,mep,result,group,identifier
6001,Kósa,for,PPE,2017-07-05_7.
6053,Köstinger,for,PPE,2017-07-05_7.
6196,Kovatchev,for,PPE,2017-07-05_7.
6527,Kozłowska-Rajewicz,for,PPE,2017-07-05_7.
5403,Kudrycka,for,PPE,2017-07-05_7.
5940,Kuhn,for,PPE,2017-07-05_7.
5840,Kukan,for,PPE,2017-07-05_7.
6662,Kyrtsos,for,PPE,2017-07-05_7.
5727,de Lange,for,PPE,2017-07-05_7.
3856,Langen,for,PPE,2017-07-05_7.
6363,Lavrilleux,for,PPE,2017-07-05_7.
6592,Lenaers,for,PPE,2017-07-05_7.
5105,Lewandowski,for,PPE,2017-07-05_7.
3855,Liese,for,PPE,2017-07-05_7.
6442,Lins,for,PPE,2017-07-05_7.
5938,Lope Fontagné,for,PPE,2017-07-05_7.
5517,López-Istúriz White,for,PPE,2017-07-05_7.
5964,Łukacijewska,for,PPE,2017-07-05_7.
6440,McAllister,for,PPE,2017-07-05_7.
5245,McGuinness,for,PPE,2017-07-05_7.
6303,Maletić,for,PPE,2017-07-05_7.
6245,Malinov,for,PPE,2017-07-05_7.
5774,Mănescu,for,PPE,2017-07-05_7.
3845,Mann,for,PPE,2017-07-05_7.
5646,Marinescu,for,PPE,2017-07-05_7.
6465,Martusciello,for,PPE,2017-07-05_7.
6096,Mato,for,PPE,2017-07-05_7.
6121,Melo,for,PPE,2017-07-05_7.
6297,Metsola,for,PPE,2017-07-05_7.
5308,Mikolášik,for,PPE,2017-07-05_7.
5518,Millán Mon,for,PPE,2017-07-05_7.
6436,Mureşan,for,PPE,2017-07-05_7.
6544,Nagy,for,PPE,2017-07-05_7.
4712,Niebler,for,PPE,2017-07-05_7.
6332,Niedermayer,for,PPE,2017-07-05_7.
5295,van Nistelrooij,for,PPE,2017-07-05_7.
6709,Novakov,for,PPE,2017-07-05_7.
5407,Olbrycht,for,PPE,2017-07-05_7.
6377,Pabriks,for,PPE,2017-07-05_7.
5702,Patriciello,for,PPE,2017-07-05_7.
5033,Peterle,for,PPE,2017-07-05_7.
6383,Petir,for,PPE,2017-07-05_7.
5346,Pieper,for,PPE,2017-07-05_7.
6537,Pitera,for,PPE,2017-07-05_7.
6519,Plura,for,PPE,2017-07-05_7.
6491,Pogliese,for,PPE,2017-07-05_7.
6335,Polčák,for,PPE,2017-07-05_7.
